                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5083,                 2.0433,                 1.5152,                0.51403,                0.40689,                0.41799,                0.19711,                 1.7174,                 2.2596,                 1.8471,             0.00066425,             0.00066425,             0.00066425
                      2,                  1.689,                 1.9628,                 1.6654,                0.47181,                0.42345,                0.38422,                0.16494,                 1.8302,                 2.1506,                 1.9387,              0.0012682,              0.0012682,              0.0012682
                      3,                 1.7068,                 1.9571,                 1.7009,                0.53012,                0.48844,                 0.4827,                0.22373,                  1.753,                 1.8647,                  1.904,              0.0018092,              0.0018092,              0.0018092
                      4,                  1.685,                 1.8858,                 1.6791,                0.58399,                 0.4771,                0.50384,                0.23685,                 1.7955,                 1.7704,                 1.8815,              0.0017171,              0.0017171,              0.0017171
                      5,                 1.6394,                 1.8011,                 1.6523,                0.61361,                0.51872,                0.54791,                0.27041,                 1.6315,                 1.7476,                 1.7554,              0.0017171,              0.0017171,              0.0017171
                      6,                 1.5679,                 1.7054,                 1.5918,                0.66293,                0.55691,                0.60241,                 0.3157,                 1.6576,                 1.5209,                 1.7424,              0.0016229,              0.0016229,              0.0016229
                      7,                  1.534,                 1.6461,                 1.5679,                0.63491,                0.52508,                 0.5712,                0.30969,                 1.5256,                 1.5346,                 1.6514,              0.0015286,              0.0015286,              0.0015286
                      8,                 1.4827,                 1.5676,                 1.5275,                0.71756,                0.56728,                0.63855,                0.34109,                  1.544,                 1.4606,                 1.6072,              0.0014343,              0.0014343,              0.0014343
                      9,                 1.4801,                 1.5443,                 1.5199,                0.70861,                0.59442,                0.65925,                0.38142,                 1.4501,                 1.3061,                  1.576,                0.00134,                0.00134,                0.00134
                     10,                 1.4325,                 1.4661,                 1.4933,                0.72574,                0.58856,                0.67763,                0.39465,                 1.4472,                 1.2938,                 1.5552,              0.0012457,              0.0012457,              0.0012457
                     11,                 1.4089,                  1.442,                 1.4706,                 0.7564,                0.59878,                0.68579,                0.39143,                 1.4551,                 1.2678,                 1.5546,              0.0011514,              0.0011514,              0.0011514
                     12,                  1.403,                 1.3337,                 1.4888,                0.75728,                0.61229,                0.69801,                0.41205,                 1.3668,                  1.244,                 1.4921,              0.0010571,              0.0010571,              0.0010571
                     13,                 1.3589,                 1.2453,                 1.4486,                0.73605,                0.65591,                0.72618,                0.43648,                 1.3342,                 1.1529,                 1.4572,             0.00096286,             0.00096286,             0.00096286
                     14,                 1.3328,                 1.2118,                 1.4342,                0.75414,                0.65504,                0.73466,                0.43935,                 1.3538,                 1.1347,                 1.4731,             0.00086857,             0.00086857,             0.00086857
                     15,                 1.2942,                 1.1543,                 1.4061,                0.78685,                0.64544,                0.74514,                0.45049,                 1.3168,                 1.0945,                 1.4333,             0.00077429,             0.00077429,             0.00077429
                     16,                 1.2658,                 1.1062,                 1.3795,                0.79364,                0.67423,                0.76082,                0.45882,                 1.3185,                 1.0605,                  1.442,                0.00068,                0.00068,                0.00068
                     17,                 1.2416,                 1.0658,                 1.3662,                0.80991,                0.66522,                0.77065,                0.47522,                 1.2799,                 1.0318,                 1.4091,             0.00058571,             0.00058571,             0.00058571
                     18,                 1.1977,                 1.0168,                 1.3355,                 0.7833,                0.69821,                0.77256,                0.47784,                 1.2741,                 1.0045,                 1.4053,             0.00049143,             0.00049143,             0.00049143
                     19,                 1.1795,                0.98386,                 1.3192,                0.79458,                0.70475,                0.78191,                0.49291,                 1.2393,                0.97575,                 1.3745,             0.00039714,             0.00039714,             0.00039714
                     20,                 1.1472,                0.95361,                 1.3001,                0.82207,                0.70126,                0.79089,                0.51272,                 1.1969,                0.92288,                 1.3425,             0.00030286,             0.00030286,             0.00030286
                     21,                 1.1129,                0.90195,                 1.2718,                0.79767,                0.71867,                0.78932,                0.50706,                    1.2,                0.92396,                 1.3446,             0.00020857,             0.00020857,             0.00020857
